[ [ [ 1, 15 ],
    [ 2, 23 ],
    [ 3, 11 ],
    [ 4, 14 ],
    [ 5, 2 ],
    [ 6, 28 ],
    [ 7, 29 ],
    [ 8, 21 ],
    [ 9, 6 ],
    [ 10, 14 ],
    [ 11, 1 ],
    [ 12, 10 ],
    [ 13, 25 ],
    [ 14, 7 ],
    [ 15, 1 ],
    [ 16, 28 ],
    [ 17, 0 ],
    [ 18, 10 ],
    [ 19, 0 ] ],
  [ [ 0, 15 ],
    [ 2, 26 ],
    [ 3, 7 ],
    [ 4, 0 ],
    [ 5, 17 ],
    [ 6, 5 ],
    [ 7, 6 ],
    [ 8, 6 ],
    [ 9, 3 ],
    [ 10, 25 ],
    [ 11, 6 ],
    [ 12, 5 ],
    [ 13, 10 ],
    [ 14, 14 ],
    [ 15, 5 ],
    [ 16, 8 ],
    [ 17, 25 ],
    [ 18, 3 ],
    [ 19, 21 ] ],
  [ [ 0, 23 ],
    [ 1, 26 ],
    [ 3, 27 ],
    [ 4, 8 ],
    [ 5, 27 ],
    [ 6, 22 ],
    [ 7, 3 ],
    [ 8, 9 ],
    [ 9, 10 ],
    [ 10, 16 ],
    [ 11, 17 ],
    [ 12, 20 ],
    [ 13, 22 ],
    [ 14, 11 ],
    [ 15, 27 ],
    [ 16, 22 ],
    [ 17, 11 ],
    [ 18, 19 ],
    [ 19, 3 ] ],
  [ [ 0, 11 ],
    [ 1, 7 ],
    [ 2, 27 ],
    [ 4, 24 ],
    [ 5, 21 ],
    [ 6, 14 ],
    [ 7, 22 ],
    [ 8, 21 ],
    [ 9, 20 ],
    [ 10, 12 ],
    [ 11, 16 ],
    [ 12, 19 ],
    [ 13, 23 ],
    [ 14, 13 ],
    [ 15, 4 ],
    [ 16, 1 ],
    [ 17, 9 ],
    [ 18, 4 ],
    [ 19, 13 ] ],
  [ [ 0, 14 ],
    [ 1, 0 ],
    [ 2, 8 ],
    [ 3, 24 ],
    [ 5, 18 ],
    [ 6, 21 ],
    [ 7, 18 ],
    [ 8, 7 ],
    [ 9, 1 ],
    [ 10, 7 ],
    [ 11, 12 ],
    [ 12, 13 ],
    [ 13, 3 ],
    [ 14, 28 ],
    [ 15, 18 ],
    [ 16, 2 ],
    [ 17, 25 ],
    [ 18, 18 ],
    [ 19, 6 ] ],
  [ [ 0, 2 ],
    [ 1, 17 ],
    [ 2, 27 ],
    [ 3, 21 ],
    [ 4, 18 ],
    [ 6, 15 ],
    [ 7, 26 ],
    [ 8, 14 ],
    [ 9, 7 ],
    [ 10, 25 ],
    [ 11, 10 ],
    [ 12, 10 ],
    [ 13, 13 ],
    [ 14, 13 ],
    [ 15, 2 ],
    [ 16, 8 ],
    [ 17, 23 ],
    [ 18, 1 ],
    [ 19, 4 ] ],
  [ [ 0, 28 ],
    [ 1, 5 ],
    [ 2, 22 ],
    [ 3, 14 ],
    [ 4, 21 ],
    [ 5, 15 ],
    [ 7, 4 ],
    [ 8, 11 ],
    [ 9, 24 ],
    [ 10, 17 ],
    [ 11, 29 ],
    [ 12, 0 ],
    [ 13, 29 ],
    [ 14, 1 ],
    [ 15, 24 ],
    [ 16, 1 ],
    [ 17, 4 ],
    [ 18, 3 ],
    [ 19, 0 ] ],
  [ [ 0, 29 ],
    [ 1, 6 ],
    [ 2, 3 ],
    [ 3, 22 ],
    [ 4, 18 ],
    [ 5, 26 ],
    [ 6, 4 ],
    [ 8, 26 ],
    [ 9, 7 ],
    [ 10, 13 ],
    [ 11, 3 ],
    [ 12, 17 ],
    [ 13, 24 ],
    [ 14, 7 ],
    [ 15, 10 ],
    [ 16, 26 ],
    [ 17, 6 ],
    [ 18, 14 ],
    [ 19, 18 ] ],
  [ [ 0, 21 ],
    [ 1, 6 ],
    [ 2, 9 ],
    [ 3, 21 ],
    [ 4, 7 ],
    [ 5, 14 ],
    [ 6, 11 ],
    [ 7, 26 ],
    [ 9, 29 ],
    [ 10, 2 ],
    [ 11, 27 ],
    [ 12, 17 ],
    [ 13, 6 ],
    [ 14, 27 ],
    [ 15, 0 ],
    [ 16, 4 ],
    [ 17, 11 ],
    [ 18, 14 ],
    [ 19, 29 ] ],
  [ [ 0, 6 ],
    [ 1, 3 ],
    [ 2, 10 ],
    [ 3, 20 ],
    [ 4, 1 ],
    [ 5, 7 ],
    [ 6, 24 ],
    [ 7, 7 ],
    [ 8, 29 ],
    [ 10, 16 ],
    [ 11, 29 ],
    [ 12, 26 ],
    [ 13, 6 ],
    [ 14, 17 ],
    [ 15, 10 ],
    [ 16, 28 ],
    [ 17, 27 ],
    [ 18, 9 ],
    [ 19, 25 ] ],
  [ [ 0, 14 ],
    [ 1, 25 ],
    [ 2, 16 ],
    [ 3, 12 ],
    [ 4, 7 ],
    [ 5, 25 ],
    [ 6, 17 ],
    [ 7, 13 ],
    [ 8, 2 ],
    [ 9, 16 ],
    [ 11, 26 ],
    [ 12, 23 ],
    [ 13, 21 ],
    [ 14, 1 ],
    [ 15, 24 ],
    [ 16, 5 ],
    [ 17, 24 ],
    [ 18, 1 ],
    [ 19, 10 ] ],
  [ [ 0, 1 ],
    [ 1, 6 ],
    [ 2, 17 ],
    [ 3, 16 ],
    [ 4, 12 ],
    [ 5, 10 ],
    [ 6, 29 ],
    [ 7, 3 ],
    [ 8, 27 ],
    [ 9, 29 ],
    [ 10, 26 ],
    [ 12, 12 ],
    [ 13, 26 ],
    [ 14, 17 ],
    [ 15, 15 ],
    [ 16, 9 ],
    [ 17, 6 ],
    [ 18, 10 ],
    [ 19, 26 ] ],
  [ [ 0, 10 ],
    [ 1, 5 ],
    [ 2, 20 ],
    [ 3, 19 ],
    [ 4, 13 ],
    [ 5, 10 ],
    [ 6, 0 ],
    [ 7, 17 ],
    [ 8, 17 ],
    [ 9, 26 ],
    [ 10, 23 ],
    [ 11, 12 ],
    [ 13, 13 ],
    [ 14, 28 ],
    [ 15, 12 ],
    [ 16, 10 ],
    [ 17, 23 ],
    [ 18, 15 ],
    [ 19, 1 ] ],
  [ [ 0, 25 ],
    [ 1, 10 ],
    [ 2, 22 ],
    [ 3, 23 ],
    [ 4, 3 ],
    [ 5, 13 ],
    [ 6, 29 ],
    [ 7, 24 ],
    [ 8, 6 ],
    [ 9, 6 ],
    [ 10, 21 ],
    [ 11, 26 ],
    [ 12, 13 ],
    [ 14, 7 ],
    [ 15, 26 ],
    [ 16, 28 ],
    [ 17, 2 ],
    [ 18, 21 ],
    [ 19, 11 ] ],
  [ [ 0, 7 ],
    [ 1, 14 ],
    [ 2, 11 ],
    [ 3, 13 ],
    [ 4, 28 ],
    [ 5, 13 ],
    [ 6, 1 ],
    [ 7, 7 ],
    [ 8, 27 ],
    [ 9, 17 ],
    [ 10, 1 ],
    [ 11, 17 ],
    [ 12, 28 ],
    [ 13, 7 ],
    [ 15, 11 ],
    [ 16, 22 ],
    [ 17, 5 ],
    [ 18, 18 ],
    [ 19, 15 ] ],
  [ [ 0, 1 ],
    [ 1, 5 ],
    [ 2, 27 ],
    [ 3, 4 ],
    [ 4, 18 ],
    [ 5, 2 ],
    [ 6, 24 ],
    [ 7, 10 ],
    [ 8, 0 ],
    [ 9, 10 ],
    [ 10, 24 ],
    [ 11, 15 ],
    [ 12, 12 ],
    [ 13, 26 ],
    [ 14, 11 ],
    [ 16, 24 ],
    [ 17, 27 ],
    [ 18, 14 ],
    [ 19, 9 ] ],
  [ [ 0, 28 ],
    [ 1, 8 ],
    [ 2, 22 ],
    [ 3, 1 ],
    [ 4, 2 ],
    [ 5, 8 ],
    [ 6, 1 ],
    [ 7, 26 ],
    [ 8, 4 ],
    [ 9, 28 ],
    [ 10, 5 ],
    [ 11, 9 ],
    [ 12, 10 ],
    [ 13, 28 ],
    [ 14, 22 ],
    [ 15, 24 ],
    [ 17, 3 ],
    [ 18, 24 ],
    [ 19, 1 ] ],
  [ [ 0, 0 ],
    [ 1, 25 ],
    [ 2, 11 ],
    [ 3, 9 ],
    [ 4, 25 ],
    [ 5, 23 ],
    [ 6, 4 ],
    [ 7, 6 ],
    [ 8, 11 ],
    [ 9, 27 ],
    [ 10, 24 ],
    [ 11, 6 ],
    [ 12, 23 ],
    [ 13, 2 ],
    [ 14, 5 ],
    [ 15, 27 ],
    [ 16, 3 ],
    [ 18, 3 ],
    [ 19, 8 ] ],
  [ [ 0, 10 ],
    [ 1, 3 ],
    [ 2, 19 ],
    [ 3, 4 ],
    [ 4, 18 ],
    [ 5, 1 ],
    [ 6, 3 ],
    [ 7, 14 ],
    [ 8, 14 ],
    [ 9, 9 ],
    [ 10, 1 ],
    [ 11, 10 ],
    [ 12, 15 ],
    [ 13, 21 ],
    [ 14, 18 ],
    [ 15, 14 ],
